| table_schema | table_name                      | column_name                   | data_type                   | is_nullable | column_default                                             |
| public       | part_categories                 | category_type                 | character varying           | YES         | 'shape'::character varying                                 |
| public       | part_categories                 | parent_id                     | integer                     | YES         | null                                                       |
| public       | part_categories                 | is_active                     | boolean                     | YES         | true                                                       |
| public       | part_categories                 | sort_order                    | integer                     | YES         | 0                                                          |
| public       | part_categories                 | created_at                    | timestamp without time zone | YES         | now()                                                      |
| public       | part_categories                 | updated_at                    | timestamp without time zone | YES         | now()                                                      |
| public       | part_categories                 | function                      | character varying           | YES         | null                                                       |
| public       | part_categories                 | connection                    | character varying           | YES         | null                                                       |
| public       | part_categories                 | mapping_priority              | integer                     | YES         | 1                                                          |
| public       | part_categories_detailed        | id                            | integer                     | NO          | nextval('part_categories_detailed_id_seq'::regclass)       |
| public       | part_categories_detailed        | category_code                 | character varying           | NO          | null                                                       |
| public       | part_categories_detailed        | display_name                  | character varying           | NO          | null                                                       |
| public       | part_categories_detailed        | description                   | text                        | YES         | null                                                       |
| public       | part_categories_detailed        | group_name                    | character varying           | YES         | null                                                       |
| public       | part_categories_detailed        | rebrickable_id                | integer                     | YES         | null                                                       |
| public       | part_categories_detailed        | usage_frequency               | character varying           | YES         | 'medium'::character varying                                |
| public       | part_categories_detailed        | is_active                     | boolean                     | YES         | true                                                       |
| public       | part_categories_detailed        | created_at                    | timestamp without time zone | YES         | now()                                                      |
| public       | part_category_groups            | id                            | integer                     | NO          | nextval('part_category_groups_id_seq'::regclass)           |
| public       | part_category_groups            | group_name                    | character varying           | NO          | null                                                       |
| public       | part_category_groups            | description                   | text                        | YES         | null                                                       |
| public       | part_category_groups            | category_count                | integer                     | YES         | 0                                                          |
| public       | part_category_groups            | priority_level                | character varying           | YES         | 'medium'::character varying                                |
| public       | part_category_groups            | created_at                    | timestamp without time zone | YES         | now()                                                      |
| public       | part_images                     | id                            | uuid                        | NO          | gen_random_uuid()                                          |
| public       | part_images                     | part_id                       | character varying           | YES         | null                                                       |
| public       | part_images                     | color_id                      | integer                     | YES         | null                                                       |
| public       | part_images                     | original_url                  | text                        | NO          | null                                                       |
| public       | part_images                     | uploaded_url                  | text                        | YES         | null                                                       |
| public       | part_images                     | local_path                    | text                        | YES         | null                                                       |
| public       | part_images                     | filename                      | character varying           | YES         | null                                                       |
| public       | part_images                     | file_size                     | integer                     | YES         | null                                                       |
| public       | part_images                     | image_width                   | integer                     | YES         | null                                                       |
| public       | part_images                     | image_height                  | integer                     | YES         | null                                                       |
| public       | part_images                     | image_format                  | character varying           | YES         | null                                                       |
| public       | part_images                     | download_status               | character varying           | YES         | 'pending'::character varying                               |
| public       | part_images                     | upload_status                 | character varying           | YES         | 'pending'::character varying                               |
| public       | part_images                     | error_message                 | text                        | YES         | null                                                       |
| public       | part_images                     | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | part_images                     | updated_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | part_images                     | element_id                    | character varying           | YES         | null                                                       |
| public       | part_quality_recovery_history   | part_id                       | character varying           | YES         | null                                                       |
| public       | part_quality_recovery_history   | element_id                    | character varying           | YES         | null                                                       |
| public       | part_quality_recovery_history   | timestamp                     | timestamp with time zone    | YES         | null                                                       |
| public       | part_quality_recovery_history   | qa_status                     | character varying           | YES         | null                                                       |
| public       | part_quality_recovery_history   | ssim                          | numeric                     | YES         | null                                                       |
| public       | part_quality_recovery_history   | snr                           | numeric                     | YES         | null                                                       |
| public       | part_quality_recovery_history   | sharpness                     | numeric                     | YES         | null                                                       |
| public       | part_quality_recovery_history   | reprojection_error            | numeric                     | YES         | null                                                       |
| public       | part_quality_recovery_history   | processing_time               | integer                     | YES         | null                                                       |
| public       | part_quality_recovery_history   | prev_ssim                     | numeric                     | YES         | null                                                       |
| public       | part_quality_recovery_history   | prev_snr                      | numeric                     | YES         | null                                                       |
| public       | part_quality_recovery_history   | prev_sharpness                | numeric                     | YES         | null                                                       |
| public       | part_quality_recovery_history   | prev_reprojection_error       | numeric                     | YES         | null                                                       |
| public       | part_quality_recovery_history   | ssim_improvement              | numeric                     | YES         | null                                                       |
| public       | part_quality_recovery_history   | snr_improvement               | numeric                     | YES         | null                                                       |
| public       | part_quality_recovery_history   | sharpness_improvement         | numeric                     | YES         | null                                                       |
| public       | part_quality_recovery_history   | reprojection_improvement      | numeric                     | YES         | null                                                       |
| public       | part_training_status            | id                            | integer                     | NO          | nextval('part_training_status_id_seq'::regclass)           |
| public       | part_training_status            | part_id                       | character varying           | NO          | null                                                       |
| public       | part_training_status            | status                        | character varying           | YES         | 'pending'::character varying                               |
| public       | part_training_status            | map50                         | double precision            | YES         | 0.0                                                        |
| public       | part_training_status            | precision                     | double precision            | YES         | 0.0                                                        |
| public       | part_training_status            | recall                        | double precision            | YES         | 0.0                                                        |
| public       | part_training_status            | f1_score                      | double precision            | YES         | 0.0                                                        |
| public       | part_training_status            | training_job_id               | integer                     | YES         | null                                                       |
| public       | part_training_status            | last_trained_at               | timestamp with time zone    | YES         | null                                                       |
| public       | part_training_status            | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | part_training_status            | updated_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | parts_master                    | id                            | bigint                      | NO          | nextval('parts_master_id_seq'::regclass)                   |
| public       | parts_master                    | part_id                       | character varying           | NO          | null                                                       |
| public       | parts_master                    | part_name                     | character varying           | YES         | null                                                       |
| public       | parts_master                    | category                      | character varying           | YES         | null                                                       |
| public       | parts_master                    | color                         | character varying           | YES         | null                                                       |
| public       | parts_master                    | element_id                    | character varying           | YES         | null                                                       |
| public       | parts_master                    | shape_tag                     | character varying           | YES         | null                                                       |
| public       | parts_master                    | series                        | character varying           | YES         | null                                                       |
| public       | parts_master                    | expected_stud_count           | integer                     | YES         | 0                                                          |
| public       | parts_master                    | expected_hole_count           | integer                     | YES         | 0                                                          |
| public       | parts_master                    | center_stud                   | boolean                     | YES         | false                                                      |
| public       | parts_master                    | groove                        | boolean                     | YES         | false                                                      |
| public       | parts_master                    | confusion_groups              | ARRAY                       | YES         | null                                                       |
| public       | parts_master                    | distinguishing_features       | ARRAY                       | YES         | null                                                       |
| public       | parts_master                    | recognition_hints             | jsonb                       | YES         | null                                                       |
| public       | parts_master                    | tier                          | character varying           | YES         | 'GEOMETRY'::character varying                              |
| public       | parts_master                    | complexity_level              | character varying           | YES         | 'medium'::character varying                                |
| public       | parts_master                    | orientation_sensitive         | boolean                     | YES         | true                                                       |
| public       | parts_master                    | flip_tolerance                | numeric                     | YES         | 0.4                                                        |
| public       | parts_master                    | semantic_complexity           | numeric                     | YES         | 0.0                                                        |
| public       | parts_master                    | has_stud                      | boolean                     | YES         | false                                                      |
| public       | parts_master                    | feature_json                  | jsonb                       | YES         | null                                                       |
| public       | parts_master                    | feature_text                  | text                        | YES         | null                                                       |
| public       | parts_master                    | similar_parts                 | ARRAY                       | YES         | null                                                       |
| public       | parts_master                    | confidence                    | double precision            | YES         | 0.0                                                        |
| public       | parts_master                    | usage_frequency               | integer                     | YES         | 0                                                          |
| public       | parts_master                    | detection_accuracy            | double precision            | YES         | 0.0                                                        |
| public       | parts_master                    | version                       | integer                     | YES         | 1                                                          |
| public       | parts_master                    | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | parts_master                    | updated_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | parts_master_core               | id                            | bigint                      | NO          | nextval('parts_master_core_id_seq'::regclass)              |
| public       | parts_master_core               | part_id                       | character varying           | NO          | null                                                       |
| public       | parts_master_core               | color_id                      | integer                     | NO          | null                                                       |
| public       | parts_master_core               | part_name                     | character varying           | YES         | null                                                       |
| public       | parts_master_core               | shape_tag                     | character varying           | YES         | null                                                       |
| public       | parts_master_core               | series                        | character varying           | YES         | null                                                       |
| public       | parts_master_core               | expected_stud_count           | integer                     | YES         | 0                                                          |
| public       | parts_master_core               | expected_hole_count           | integer                     | YES         | 0                                                          |
| public       | parts_master_core               | center_stud                   | boolean                     | YES         | false                                                      |
| public       | parts_master_core               | groove                        | boolean                     | YES         | false                                                      |
| public       | parts_master_core               | confusion_groups              | ARRAY                       | YES         | null                                                       |
| public       | parts_master_core               | distinguishing_features       | ARRAY                       | YES         | null                                                       |
| public       | parts_master_core               | recognition_hints             | jsonb                       | YES         | null                                                       |
| public       | parts_master_core               | tier                          | character varying           | YES         | 'GEOMETRY'::character varying                              |
| public       | parts_master_core               | complexity_level              | character varying           | YES         | 'medium'::character varying                                |
| public       | parts_master_core               | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | parts_master_core               | updated_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | parts_master_embed              | part_id                       | character varying           | NO          | null                                                       |
| public       | parts_master_embed              | color_id                      | integer                     | NO          | null                                                       |
| public       | parts_master_embed              | vector_id                     | text                        | YES         | null                                                       |
| public       | parts_master_embed              | vector_version                | integer                     | YES         | 1                                                          |
| public       | parts_master_embed              | vector_hash                   | text                        | YES         | null                                                       |
| public       | parts_master_embed              | embedding_model               | character varying           | YES         | 'CLIP-ViT-L/14'::character varying                         |
| public       | parts_master_embed              | embedding_dimension           | integer                     | YES         | 768                                                        |
| public       | parts_master_embed              | storage_provider              | character varying           | YES         | 'faiss'::character varying                                 |
| public       | parts_master_embed              | storage_path                  | text                        | YES         | null                                                       |
| public       | parts_master_embed              | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | parts_master_embed              | updated_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | parts_master_features           | id                            | integer                     | NO          | nextval('parts_master_features_id_seq'::regclass)          |
| public       | parts_master_features           | part_id                       | character varying           | NO          | null                                                       |
| public       | parts_master_features           | part_name                     | character varying           | YES         | null                                                       |
| public       | parts_master_features           | part_category                 | integer                     | YES         | null                                                       |
| public       | parts_master_features           | color_id                      | integer                     | YES         | null                                                       |
| public       | parts_master_features           | feature_json                  | jsonb                       | YES         | null                                                       |
| public       | parts_master_features           | feature_text                  | text                        | YES         | null                                                       |
| public       | parts_master_features           | recognition_hints             | jsonb                       | YES         | null                                                       |
| public       | parts_master_features           | similar_parts                 | ARRAY                       | YES         | null                                                       |
| public       | parts_master_features           | distinguishing_features       | ARRAY                       | YES         | null                                                       |
| public       | parts_master_features           | confidence                    | double precision            | YES         | 0.0                                                        |
| public       | parts_master_features           | usage_frequency               | integer                     | YES         | 0                                                          |
| public       | parts_master_features           | detection_accuracy            | double precision            | YES         | 0.0                                                        |
| public       | parts_master_features           | created_at                    | timestamp without time zone | YES         | now()                                                      |
| public       | parts_master_features           | updated_at                    | timestamp without time zone | YES         | now()                                                      |
| public       | parts_master_features           | version                       | integer                     | YES         | 1                                                          |
| public       | parts_master_features           | tier                          | character varying           | YES         | 'GEOMETRY'::character varying                              |
| public       | parts_master_features           | orientation_sensitive         | boolean                     | YES         | true                                                       |
| public       | parts_master_features           | flip_tolerance                | numeric                     | YES         | 0.4                                                        |
| public       | parts_master_features           | semantic_complexity           | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | complexity_level              | character varying           | YES         | 'low'::character varying                                   |
| public       | parts_master_features           | has_stud                      | boolean                     | YES         | false                                                      |
| public       | parts_master_features           | groove                        | boolean                     | YES         | false                                                      |
| public       | parts_master_features           | center_stud                   | boolean                     | YES         | false                                                      |
| public       | parts_master_features           | key_features                  | ARRAY                       | YES         | '{}'::text[]                                               |
| public       | parts_master_features           | flip_score                    | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | is_flipped                    | boolean                     | YES         | false                                                      |
| public       | parts_master_features           | orientation_locked            | boolean                     | YES         | false                                                      |
| public       | parts_master_features           | normal_similarity             | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | flipped_similarity            | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | semantic_score                | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | method                        | character varying           | YES         | 'geometric'::character varying                             |
| public       | parts_master_features           | rotation_invariance           | boolean                     | YES         | false                                                      |
| public       | parts_master_features           | angle_step                    | integer                     | YES         | 0                                                          |
| public       | parts_master_features           | polar_transform               | boolean                     | YES         | false                                                      |
| public       | parts_master_features           | radial_profile                | boolean                     | YES         | false                                                      |
| public       | parts_master_features           | teeth_count                   | integer                     | YES         | 0                                                          |
| public       | parts_master_features           | pitch_periodicity             | boolean                     | YES         | false                                                      |
| public       | parts_master_features           | circular_array                | boolean                     | YES         | false                                                      |
| public       | parts_master_features           | round_shape_score             | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | center_stud_score             | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | groove_score                  | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | stud_count_score              | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | tube_pattern_score            | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | hole_count_score              | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | symmetry_score                | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | edge_quality_score            | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | texture_score                 | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | color_score                   | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | pattern_score                 | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | voting_total_score            | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | core_matches                  | integer                     | YES         | 0                                                          |
| public       | parts_master_features           | core_bonus                    | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | confusion_penalty             | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | applied_penalties             | jsonb                       | YES         | '[]'::jsonb                                                |
| public       | parts_master_features           | confusion_groups              | ARRAY                       | YES         | '{}'::text[]                                               |
| public       | parts_master_features           | aliases                       | ARRAY                       | YES         | '{}'::text[]                                               |
| public       | parts_master_features           | expected_stud_count           | integer                     | YES         | 0                                                          |
| public       | parts_master_features           | expected_hole_count           | integer                     | YES         | 0                                                          |
| public       | parts_master_features           | underside_tube_pattern        | character varying           | YES         | ''::character varying                                      |
| public       | parts_master_features           | primary_signal                | character varying           | YES         | ''::character varying                                      |
| public       | parts_master_features           | precision_score               | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | recall_score                  | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | top2_margin                   | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | review_ratio                  | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | last_updated                  | timestamp without time zone | YES         | CURRENT_TIMESTAMP                                          |
| public       | parts_master_features           | image_quality_mu              | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | image_quality_sigma           | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | image_quality_lv              | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | image_quality_snr             | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | image_quality_resolution      | integer                     | YES         | 0                                                          |
| public       | parts_master_features           | image_quality_q               | numeric                     | YES         | 1.0                                                        |
| public       | parts_master_features           | tier_weights_geo              | numeric                     | YES         | 0.6                                                        |
| public       | parts_master_features           | tier_weights_struct           | numeric                     | YES         | 0.2                                                        |
| public       | parts_master_features           | tier_weights_sem              | numeric                     | YES         | 0.2                                                        |
| public       | parts_master_features           | score_geo                     | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | score_struct                  | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | score_sem                     | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | score_final                   | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | meta_em                       | numeric                     | YES         | 1.0                                                        |
| public       | parts_master_features           | meta_penalty                  | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | meta_m                        | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | decision_status               | character varying           | YES         | 'pending'::character varying                               |
| public       | parts_master_features           | decision_threshold            | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | shape_tag                     | character varying           | YES         | null                                                       |
| public       | parts_master_features           | scale                         | character varying           | YES         | 'system'::character varying                                |
| public       | parts_master_features           | stud_count_top                | integer                     | YES         | 0                                                          |
| public       | parts_master_features           | tube_count_bottom             | integer                     | YES         | 0                                                          |
| public       | parts_master_features           | stud_pattern                  | character varying           | YES         | null                                                       |
| public       | parts_master_features           | tube_pattern                  | character varying           | YES         | null                                                       |
| public       | parts_master_features           | hole_count                    | integer                     | YES         | 0                                                          |
| public       | parts_master_features           | topo_applicable               | boolean                     | YES         | false                                                      |
| public       | parts_master_features           | confusions                    | ARRAY                       | YES         | '{}'::text[]                                               |
| public       | parts_master_features           | texture_class                 | character varying           | YES         | null                                                       |
| public       | parts_master_features           | is_printed                    | boolean                     | YES         | false                                                      |
| public       | parts_master_features           | top_color_rgb                 | ARRAY                       | YES         | null                                                       |
| public       | parts_master_features           | underside_type                | character varying           | YES         | null                                                       |
| public       | parts_master_features           | feature_text_score            | numeric                     | YES         | 0.0                                                        |
| public       | parts_master_features           | image_quality_ssim            | numeric                     | YES         | null                                                       |
| public       | parts_master_features           | meta_source                   | character varying           | YES         | null                                                       |
| public       | parts_master_features           | area_px                       | integer                     | YES         | null                                                       |
| public       | parts_master_features           | bbox_ratio                    | ARRAY                       | YES         | null                                                       |
| public       | parts_master_features           | orientation                   | character varying           | YES         | null                                                       |
| public       | parts_master_features           | render_id                     | character varying           | YES         | null                                                       |
| public       | parts_master_features           | set_id                        | character varying           | YES         | null                                                       |
| public       | parts_master_features           | element_id                    | character varying           | YES         | null                                                       |
| public       | parts_master_features           | image_quality                 | jsonb                       | YES         | '{}'::jsonb                                                |
| public       | parts_master_features           | scale_type                    | character varying           | YES         | null                                                       |
| public       | parts_master_features           | embedding_status              | text                        | YES         | 'pending'::text                                            |
| public       | parts_master_features           | series                        | character varying           | YES         | 'system'::character varying                                |
| public       | parts_master_features           | clip_vector_id                | text                        | YES         | null                                                       |
| public       | parts_master_features           | fgc_vector_id                 | text                        | YES         | null                                                       |
| public       | parts_master_features           | clip_vector_sha256            | text                        | YES         | null                                                       |
