| table_schema | table_name                      | column_name                   | data_type                   | is_nullable | column_default                                             |
| public       | deployment_queue                | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | deployment_queue                | started_at                    | timestamp with time zone    | YES         | null                                                       |
| public       | deployment_queue                | completed_at                  | timestamp with time zone    | YES         | null                                                       |
| public       | deployment_queue                | error_message                 | text                        | YES         | null                                                       |
| public       | detection_results               | id                            | uuid                        | NO          | gen_random_uuid()                                          |
| public       | detection_results               | session_id                    | character varying           | NO          | null                                                       |
| public       | detection_results               | small_parts_detected          | integer                     | YES         | 0                                                          |
| public       | detection_results               | total_small_parts             | integer                     | YES         | 0                                                          |
| public       | detection_results               | false_positives               | integer                     | YES         | 0                                                          |
| public       | detection_results               | total_detections              | integer                     | YES         | 0                                                          |
| public       | detection_results               | processing_time_ms            | integer                     | YES         | 0                                                          |
| public       | detection_results               | model_version                 | character varying           | YES         | null                                                       |
| public       | detection_results               | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | directory_structure_stats       | id                            | integer                     | NO          | nextval('directory_structure_stats_id_seq'::regclass)      |
| public       | directory_structure_stats       | dataset_id                    | character varying           | NO          | null                                                       |
| public       | directory_structure_stats       | total_datasets                | integer                     | YES         | null                                                       |
| public       | directory_structure_stats       | total_images                  | integer                     | YES         | null                                                       |
| public       | directory_structure_stats       | total_labels                  | integer                     | YES         | null                                                       |
| public       | directory_structure_stats       | total_masks                   | integer                     | YES         | null                                                       |
| public       | directory_structure_stats       | total_meta_files              | integer                     | YES         | null                                                       |
| public       | directory_structure_stats       | total_index_files             | integer                     | YES         | null                                                       |
| public       | directory_structure_stats       | disk_usage                    | bigint                      | YES         | null                                                       |
| public       | directory_structure_stats       | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | embedding_worker_status         | id                            | integer                     | NO          | nextval('embedding_worker_status_id_seq'::regclass)        |
| public       | embedding_worker_status         | worker_name                   | character varying           | NO          | 'embedding_worker'::character varying                      |
| public       | embedding_worker_status         | last_heartbeat                | timestamp with time zone    | YES         | now()                                                      |
| public       | embedding_worker_status         | status                        | character varying           | YES         | 'running'::character varying                               |
| public       | embedding_worker_status         | processed_today               | integer                     | YES         | 0                                                          |
| public       | embedding_worker_status         | queue_size                    | integer                     | YES         | 0                                                          |
| public       | embedding_worker_status         | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | embedding_worker_status         | updated_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | error_recovery_logs             | id                            | bigint                      | NO          | nextval('error_recovery_logs_id_seq'::regclass)            |
| public       | error_recovery_logs             | operation_id                  | uuid                        | YES         | null                                                       |
| public       | error_recovery_logs             | part_id                       | character varying           | YES         | null                                                       |
| public       | error_recovery_logs             | error_type                    | character varying           | NO          | null                                                       |
| public       | error_recovery_logs             | error_message                 | text                        | YES         | null                                                       |
| public       | error_recovery_logs             | recovery_attempts             | integer                     | YES         | 0                                                          |
